organization_name,city,description,img
UNICEF Brasil,Brasília DF,"Esta agência internacional de fomento, atua em cooperação direta com prefeituras brasileiras para monitorar e qualificar as redes de proteção e os serviços de desenvolvimento infantil. Sua atuação de ponta se materializa na implementação intersetorial do programa Unidade Amiga da Primeira Infância (UAPI) em múltiplos territórios. A iniciativa foca em apoiar tecnicamente a gestão pública para integrar saúde, assistência social e educação em creches locais."
Fundação Julita,"Jardim São Luís, São Paulo (SP)","Esta organização privada sem fins lucrativos, desenvolve projetos integrados de assistência social e educação integral em uma sede física na periferia de São Paulo. Suas atividades incluem creches de tempo integral para bebês e oficinas pedagógicas de contraturno escolar com esporte e cultura para crianças. A fundação também realiza frentes de agroecologia comunitária e oficinas de educação ambiental em sua própria área verde."
Projeto Arrastão,São Paulo (SP),"Esta organização da sociedade civil, desenvolve frentes contínuas de desenvolvimento humano e acolhimento comunitário na zona sul de São Paulo. Suas atividades práticas englobam creches públicas de tempo integral para a primeira infância, oficinas de esporte e arte no contraturno escolar e formação profissional para jovens. A instituição também promove oficinas de arte e geração de renda com foco no suporte integrado às famílias."
Centro de Cultura Luiz Freire,Olinda (PE),"Trata-se de uma organização da sociedade civil que atua na promoção dos direitos humanos, da cidadania e da democratização do acesso à leitura em Pernambuco. A iniciativa mantém ativa a ""Biblioteca Solar de Ler"" em Olinda, funcionando como um espaço dinâmico de mediação de leitura literária, debates e contação de histórias. Também coordena o projeto pedagógico Educquilombo, que assessora redes escolares na formulação de currículos diferenciados voltados a meninas quilombolas."
CIESPI - Centro Internacional de Estudos e Pesquisas sobre a Infância,Rio de Janeiro (RJ),"Este centro de pesquisa aplicada, vinculado à Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio), dedica-se à produção de estudos científicos e bancos de dados sobre as juventudes e as infâncias. A instituição traduz o conhecimento teórico em ações de impacto territorial ao gerenciar o ""Ponto de Cultura e Memória"" na comunidade da Rocinha. Suas oficinas buscam registrar a história local e qualificar a escuta ativa das crianças em territórios de favela."
IPREDE - Instituto Primeira Infância ,Fortaleza (CE),"Este instituto de base civil, atua integrando frentes de saúde básica, assistência social e práticas de fomento ao afeto em Fortaleza, Ceará. Suas atividades prioritárias englobam o acolhimento clínico especializado de crianças com autismo (TEA) e o tratamento terapêutico de desequilíbrios nutricionais infantis. Por meio do Projeto Vincular, a entidade também oferece apoio psíquico para as famílias e oficinas de capacitação profissional para as mães e cuidadoras."
CECIP-Centro de Criação de Imagem Popular,Rio de Janeiro (RJ),"Esta organização da sociedade civil, desenvolve projetos educativos voltados a aproximar as infâncias do campo das artes expressivas e das mídias populares de comunicação. A entidade produz jogos, metodologias de educomunicação e vídeos que estimulam a Cultura de Paz e a escuta pedagógica nas redes públicas de ensino. Também gerencia espaços de incentivo à leitura literária e contação de histórias na Rocinha, no Rio de Janeiro."
Fundação Abrinq,São Paulo (SP)," Esta fundação filantrópica realiza advocacy político e parcerias com foco em garantir o fomento à nutrição, à saúde e ao desenvolvimento infantil básico nacional. A organização promove iniciativas capilares de doação de acervos lúdicos e alfabetização de ponta, como o ""Creche para Todas as Crianças"" e o ""Projeto Brincar"". Também qualifica prefeituras por meio de seu programa técnico para priorizar os direitos de crianças e adolescentes nos orçamentos estatais."
Fundação Casa Grande,Nova Olinda (CE),"Esta cooperativa cultural de base comunitária estimula o protagonismo infantojuvenil por meio da educação patrimonial no sertão do Cariri, Ceará. As próprias crianças realizam de forma autônoma as atividades diárias de rádio comunitária, TV, estúdio de cinema e biblioteca na sede física do projeto. A fundação desenvolve frentes lúdicas integradas, tendo criado de forma colaborativa com os pequenos o jogo inclusivo e tátil ""Imaginário Cariri""."
Amigos do Bem,São José da Tapera (AL),"Esta organização da sociedade civil desenvolve um modelo de inclusão que une assistência emergencial e fomento educacional na busca de erradicar a pobreza extrema no Nordeste. Mantém grandes Centros de Transformação físicos que oferecem oficinas diárias de esporte, informática, reforço pedagógico, música e artes para crianças. A entidade também abre poços artesianos e implementa cooperativas de geração de renda para dar suporte sustentável às famílias locais."
Instituto Alana,São Paulo (SP),"Esta organização da sociedade civil realiza incidência política nacional e pesquisas para assegurar a prioridade absoluta aos direitos das infâncias diante do mercado e das telas. Coordena o projeto nacional ""Criança e Natureza"", que advoga ativamente pelo desemparedamento da educação e pela reconexão lúdica com o meio ambiente ao ar livre. Suas ações fomentam a criação de pátios escolares naturalizados e oficinas ecológicas nas escolas."
Associação Cidade Escola Aprendiz,São Paulo (SP),Esta organização do Terceiro Setor atua no monitoramento de políticas e no desenvolvimento de metodologias aplicadas voltadas à estruturação da Educação Integral. A instituição apoia prefeituras e redes estaduais de ensino a desenharem bairros como territórios educativos e redes protetivas que priorizem as infâncias. Suas ações incluem a produção de pesquisas científicas de combate ao trabalho infantil e à exclusão escolar nas grandes cidades.
Vaga Lume,Manaus (AM),"Esta organização da sociedade civil, atua para empoderar e valorizar as infâncias de dezenas de comunidades tradicionais e rurais da Amazônia Legal por meio da leitura de livros. A instituição doa estruturas físicas lúdicas e acervos literários infantojuvenis de qualidade para a implantação de bibliotecas comunitárias. Suas frentes pedagógicas abrangem a formação continuada de voluntários locais como mediadores de leitura e oficinas de livros manuais de resgate de histórias orais."
Universidade das Crianças ,Belo Horizonte (MG),"Este projeto de extensão e pesquisa acadêmica, vinculado à Universidade Federal de Minas Gerais (UFMG), foca na divulgação científica de rádio e podcasts para o público infantil. A iniciativa recolhe perguntas e curiosidades espontâneas feitas pelas crianças da rede pública e desenvolve oficinas de investigação com cientistas e acadêmicos. Seus resultados são convertidos de forma horizontal e criativa em curtas de animação, livros ilustrados paradidáticos e podcasts infantojuvenis."
Fundação Maria Cecilia Souto Vidigal,Jardim Paulista São Paulo (SP),"Esta fundação filantrópica, apoia financeiramente e tecnicamente o desenvolvimento integral de crianças pequenas de 0 a 6 anos por meio de grantmaking. A instituição produz diagnósticos, dados e pesquisas de alto impacto para subsidiar e assessorar prefeituras na tomada de decisões públicas baseadas em evidências. Também edita manuais formativos e guias de leitura compartilhada para as famílias e gestores escolares nas redes municipais."
Fundação José Luiz Egydio Setúbal,São Paulo (SP),"Esta fundação com foco filantrópico, atua na promoção da saúde infantil integral, no fomento científico e na assistência qualificada no país. Suas ações interconectam o atendimento médico do Sabará Hospital Infantil com pesquisas em neurodesenvolvimento coordenadas no Instituto Pensi. Por meio do selo social Infinis, a organização apoia campanhas de vacinação, saúde mental de adolescentes e frentes lúdicas de letramento científico."
Laboratório de Educação (LabEdu),São Paulo (SP),"Esta organização da sociedade civil, foca em traduzir dados científicos do campo cognitivo em abordagens lúdicas e práticas pedagógicas acessíveis ao cotidiano. A instituição desenvolve oficinas formativas com coordenadores e professores das redes de ensino para ampliar o vocabulário e a expressão das crianças na primeira infância. Também disponibiliza plataformas digitais de livre acesso com orientações práticas para as famílias incorporarem o letramento às rotinas domésticas."
OBECI - Observatório da Cultura Infantil ,Porto Alegre (RS),"Esta comunidade autônoma e profissional de base civil, reúne uma rede de escolas públicas e particulares focada no desenvolvimento docente. A iniciativa desenvolve pesquisas aplicadas sobre a pedagogia da escuta, utilizando a documentação diária em mini-histórias para registrar o brincar infantil. Destaca-se nacionalmente pela elaboração e disseminação de oficinas de ""Brincar Heurístico"", estimulando os pequenos à exploração livre de materiais cotidianos e naturais."
Instituto de Artes do Pará (IAP),Belém (PA),"Trata-se de um equipamento de fomento e gestão cultural pública integrada ao Governo do Estado do Pará focado no desenvolvimento expressivo infantil. A instituição promove o acesso democrático às linguagens artísticas ao oferecer mostras e oficinas gratuitas de música, pintura e expressão corporal para as infâncias de Belém. Suas frentes e atividades lúdicas periódicas priorizam a valorização da identidade regional e dos saberes populares da floresta amazônica."
CRIAR Nordeste,Fortaleza (CE),"Este movimento cultural e pedagógico independente de base civil, atua promovendo a capacitação lúdica continuada de educadores infantis no Nordeste. A organização desenvolve ateliês pedagógicos e eventos de fomento focados na importância das manifestações folclóricas e da pedagogia da escuta ativa das crianças. Suas oficinas incentivam o resgate de brinquedos e brincadeiras tradicionais como eixos do desenvolvimento integral da primeira infância."
Instituto Tecendo Infâncias,Itu (SP),"Esta organização focada na filantropia familiar, financia projetos que visam à garantia dos direitos das crianças na primeira infância em territórios vulneráveis. O instituto presta assessoria especializada a municípios para a elaboração e implementação técnica de seus Planos Municipais pela Primeira Infância (PMPI). Também financia projetos práticos de desemparedamento da educação pública, como a iniciativa ""Verdejando Escolas"" para estruturação de áreas verdes."
CPAPI - Centro Brasileiro de Pesquisa Aplicada à Primeira Infância,São Paulo (SP),"Trata-se de um centro acadêmico em pesquisa aplicada que opera em rede universitária (USP, Unicamp, FGV) sob apoio de fomento científico público. Dedica-se à realização de pesquisas longitudinais, estudos de impacto e coortes de acompanhamento médico e cognitivo para gerar evidências científicas nacionais. Seus seminários técnicos e boletins de dados apoiam diretamente os formuladores de políticas públicas na qualificação de programas integrados estatais."
Projeto Minha Primeira Infância,Campinas (SP)," Iniciativa pedagógica de fomento público indireto, captado pela Global Communities Brasil por incentivo fiscal federal da Lei Rouanet, que atua de forma itinerante em creches municipais. Oferece oficinas semanais integradas baseadas em quatro frentes de ponta: a Arte do Brincar, Contação de Histórias, Musicalização e Expressão Corporal. A entidade também doa kits de brinquedos e livros lúdicos para as salas de aula e capacita os educadores das escolas atendidas."
